会社名,募集の特徴,雇用形態,掲載期間,事業内容・募集背景,仕事内容,事業概要,所在地,設立,代表者,従業員数,資本金,売上高,平均年齢,連絡先,企業URL
株式会社ＡＴＧＳ,【ビジネスエンジニア】チーム体制/年間休日125日以上/残業月10～20時間/上流工程に携われる,正社員,[掲載予定期間：2018/1/8（月）～2018/3/4（日）] 求人コード 3002024552,“エンジニアに選ばれる会社”として定着率90％を誇る当社。現在、社員数は230名を超え、昨年には40名の新しい仲間が入社しました。今期は70名を採用目標とし、さらなる成長・拡大を目指しています。 あなたに合った活躍の場があります！ 今回の募集では、経験の浅い方から経験豊富なベテランの方まで幅広く歓迎。それぞれのスキル・経験に合わせたポジションでご活躍いただけます。技術志向、マネジメント志向など、多方面でのキャリア形成が可能です。,【ビジネスエンジニア】システム開発、新製品・サービス開発、大手企業向けサーバ構築等をお任せします。 具体的な仕事内容 スキル・経験・希望に合わせて、要件定義～運用まで幅広いフェーズの開発、インフラ構築プロジェクトをお任せします。＜自社サービス＞◆勤怠管理システムの改修・開発（LAMP、FuelPHP）◆飲食店向けe-ラーニングシステムの改修（LAMP、CakePHP）など＜受託案件＞◆カード会社向けクラウドサービス構築（Windows、Azure）◆金融業界向け基盤構築（Windows、Azure、VMware）＜顧客案件＞◆保険会社向けweb申請システム（Java、JavaScript）◆自動車関連アプリケーション開発（C#.NET、Azure）◆電子書籍ECサイト開発（Java、JavaScript）◆アパレルメーカー向けサーバ構築（Linux）◆証券会社向けサーバ設計～運用（Linux） チーム／組織構成 ここ数年でチーム体制の構築を強化。近くに先輩社員がいる為、困ったことがあればすぐに相談できる環境です。また、e-ラーニングや資格取得支援制度、勉強会など、スキルアップできる環境をご用意しています。（新卒のエンジニアもめきめきとスキルアップしています）,■WEB・スマーフォンアプリ企画、設計、開発、運用・保守■情報システム開発、運用・保守■インフラ構築、運用・保守、Cloud基盤サービス■システムエンジニアリングサービス,〒170-0013 東京都豊島区東池袋1-21-11 オーク池袋3F,2003年2月24日,代表取締役社長 前澤 央,228名,"3,000万円",25億円（2016年度）,,〒170-0013東京都豊島区東池袋1-21-11 オーク池袋3FHR部・採用担当TEL:03-5950-1740Email：saiyo@atgs.jp,https://www.atgs.jp/
北陽電機株式会社,社内SE（次期リーダー候補）／残業月10時間以内・年間休日123日,正社員 試用期間3カ月,[掲載予定期間：2017/12/28（木）～2018/3/28（水）] 求人コード 3002025789,1946年の創業以来、センシングやコントロールの分野に特化して、自動制御装置の研究開発や製造を手掛けてきた北陽電機株式会社。2005年に開催された愛知万博では、日本の最先端技術を集めた多数のロボットに当社の「高精度測域センサ」が採用されるなど、培ってきた技術力を強みに、業界のリーディングカンパニーとして高い評価をいただいています。今後さらなる世界展開を目指す当社では人員も増えており、ITのサポート体制強化のために社内SEを募集しています。,社内SEとして、基幹システムの開発・運用、スタッフのITサポートを担当していただきます。 具体的な仕事内容 大きく分けて3つの業務をお任せします。◆社内基幹システム（受注登録、部材の発注、請求支払、在庫管理システム等）の開発導入・保守・運用社内基幹システムの追加開発・運用・改善をお任せします。まだまだ立ち上げ段階なので改善の余地も大きいはず。積極的に情報を収集し、皆が使いやすく、生産性に貢献するシステムを目指してください。◆社内業務システムやツール開発および営業所サポート本社内や各営業所に向け、業務システムの開発から簡単なパソコン設定まで、最適なサポートをおこないます。随時、各営業所とのコミュニケーションを図るなど、スタッフと一緒になって理想のサポートを進めてください。◆社内外用ホームページの管理・運営社員が利用するホームページやお客様専用ホームページの改訂・更新をおこないます。【社員育成の考え方と研修情報】技術者として一人前になるまでじっくりと育てる社風があります。研修は座学・工場での実体験などさまざまで、入社後3カ月間研修で現場配属、その後もフォロー研修を続けていきます。 最新機種と少ない残業時間。 サーバーやネットワークには最新機種を導入するなど、IT環境の強化には会社を上げて取り組んでいます。また、「企業はひとなり」という企業理念のもと、個々の人材の意志は最大限に尊重し、自己実現の機会もできるだけ設けたいと思っています。年間休日123日・残業時間は月10時間程度など、全社員が時間に余裕を持ち、誇りとやりがいを感じながら働ける環境作りを目指しています！ チーム／組織構成 所属する部署は「総務部情報センター」。現在4名のスタッフが幅広い業務を担当しています。基幹システムに全員で取り組むこともあれば、サポートなど個別で担当する仕事もあります。自社システムが基本のため、SEとして自分やチームのアイデアを反映しやすいことが特徴です。,事業概要■光通信機器、センサ、レーザ機器、計測機器、　障害物検知センサ、自動ドアの開発・製造・販売業務◎ISO9001認証取得(1997年)◎ISO14001認証取得(2004年)■大阪本社、東京営業所、静岡営業所、名古屋営業所、　大阪営業所、九州営業所、豊中事業所,〒540-0028 大阪市中央区常盤町2-2-5 大阪HUビル【本社】,1946年4月,代表取締役社長 尾崎 仁志,215名,5000万円,75億円（2017年3月期）,,北陽電機株式会社（豊中事業所）〒561-0823大阪府豊中市神州町1-37TEL：06-6333-8634　人事担当：大橋,http://www.hokuyo-aut.co.jp/
株式会社OSGコーポレーション＜JASDAQ上場企業＞,＜データ管理スタッフ＞★男女ともに活躍中の職場です♪,正社員,[掲載予定期間：2017/12/18（月）～2018/2/18（日）] 求人コード 3002021249,「健康と環境」をテーマに、生活に密着した水関連機器の開発・販売を手がける当社。大手メーカーや官公庁など多数の国内取引先を抱えるほか、これまでに中国進出を果たすなど、着実な成長を遂げています。また、「アジア元年」と位置付けた今年度は、東南アジアをはじめ、更なる海外進出を計画しており、今回は更なる事業展開を見据えた増員募集です。,＜電子書類をはじめとした、社内データの管理業務＞★高度なスキルは必要ありません 具体的な仕事内容 ワークフローシステムを使用した、社内データの管理全般をお任せします。【具体的な仕事内容】◎電子化された書類の管理◎データ整理◎顧客情報の登録・照合◎システムトラブル時の一次対応当社の情報管理を担う重要なポジションですが、一つひとつの業務は決して難しくありません。「専門学校で習ったことがある」「以前、IT関連の企業に勤めていた」という方であれば、問題なく取り組んでいただけます。【「ワークフローシステム」とは？】届出申請や報告書、各種書類を電子化して一括管理するシステムです。基本的なIT知識をお持ちの方であれば、2ヶ月ほどでひと通りの使い方を理解していただけます。【ITの基礎知識があればOKです】まずはOJT研修で、業務の流れやシステムの使い方を学ぶところからスタートします。過去の事例やマニュアルを用いた丁寧な指導もあるので、ご安心ください。【働きやすさに自信あり♪】★基本定時退社＆残業は多くて月10h程度！ON／OFFのメリハリをつけて働けます。★育休・産休制度＆時短勤務あり！家庭をお持ちの方もお気軽にご相談ください。 円滑な営業活動を、私たちが支えています ワークフローシステムには、社内データの管理以外にも、電子掲示板や施設予約などの機能が備わっています。見慣れないシステムに、最初は戸惑う場面もあるかと思いますが、上司をはじめ、先輩たちがしっかりフォローするのでご安心ください。情報の電子化・一元化を通じて企業経営の根幹を支えるやりがいを、ぜひあなたも感じてください！ チーム／組織構成 30代を中心に7名（男性3名／女性4名）の社員が活躍中の部署。中途入社の方以外にも、退職を経て再び当社に復帰した社員もいるなど、居心地の良い環境が自慢です。,“健康と環境”をキーとした生活密着型商品の開発・販売,〒530-0043 大阪府大阪市北区天満1-26-3 OSG本社ビル,1970年8月29日,代表取締役社長 溝端 雅敏,,6億100万円,,,〒530-0043大阪市北区天満1-26-3　OSG本社ビル株式会社OSGコーポレーション採用担当／0120-066-206,http://www.osg-nandemonet.co.jp/
株式会社システムサポート,未経験から始められるSE・PG／社員定着率93％／年間休日125日,正社員 ※3ヶ月の試用期間あり。期間中の待遇給与は変わりません。,[掲載予定期間：2017/12/18（月）～2018/2/18（日）] 求人コード 3002023026,1980年に設立したシステムサポートは、長期にわたり売り上げを伸ばし続ける独立系SIerです。システム開発・構築の全般を手掛けており、一次請けを中心として直接お客様にシステムをご提供しています。業界内では「Oracleが非常に強い」と信頼が厚く、既存クライアントとの取引拡大に加え、新規クライアントからのご依頼が増加しています。クライアントは一部上場企業がほとんど。直接やりとりする機会が多く、成長の手ごたえを実感いただけるでしょう。今後さらに業務を拡大していくため、ともに支えてくださる方を募集いたします！ 資格取得に向けた強力なバックアップ！ 例えばORACLE MASTER Platinum 取得に向けて、試験費用・研修費用などの費用は会社にて全額負担しています。それに加え、有資格者によるマンツーマンでの個別指導も実施します！その他、若手には基本情報処理技術者試験などの基礎的な資格を、中堅には応用情報処理技術者試験やOCJP Silver、LPIC Lv2以上の資格取得を年次やレベルに応じて支援しています。,上流案件を中心にシステム開発・構築をお任せします 具体的な仕事内容 大手製造メーカーなどの上場企業、鉄道・電力といった社会インフラのシステム構築案件が中心となります。JavaやC#.NETでのアプリケーション開発、サーバ・ストレージ・ネットワーク・データベースのインフラ設計・構築をチーム体制（3～5名）で手掛けています。 チーム／組織構成 ◆未経験者も安心の環境です。最初はベテラン社員と同じプロジェクトに携わっていただき、スキルを高めていただきます。入社時は運用や保守の経験しかなかったメンバーも、今では設計・開発・構築を任されるまでに成長しています。スキルに応じた研修を用意しているので、着実にステップアップできます。◆長期プロジェクトに、3～5名のチームで取り組みます。上流工程から携われる案件が中心。プロジェクトの半数はエンドユーザーと直接やりとりをするため、全体像を把握しながら進められます。年単位のプロジェクトなので、案件によって学び直す心配もありません。実際、10年以上同じプロジェクトを担当している先輩もいます。≪キャリアプラン/ステップアップ≫◆エンジニアとしてのステップアップや管理職へのキャリアを実現できます。挑戦したいという意欲を後押しする会社なので、「フロントに立って案件を進めたい」「スキルを磨いてスペシャリストになりたい」など、理想のキャリアを目指せます。実際、入社後にORACLE MASTER Platinumを取得した先輩もいます。また、エンジニア出身の管理職が多数在籍しています。マネジメントスキルを身につけてエンジニアから管理職に将来はキャリアアップも目指せます。 その他プロジェクト事例 当社の開発事例をこちらでご覧いただけます。(http://www.sts-inc.co.jp/casestudies.html),システムコンサルティング／ディレクションサービス、業務支援サービス、IDCサービス、メディカルソリューションサービス、ERPコンサルティングサービス、システムインテグレーションサービス、アウトソーシングサービス、電子商取引ソリューションサービス◎2014年に「子育てサポート企業（くるみんマーク取得企業）」として、厚生労働大臣から認定を受けました。,〒920-0853 石川県金沢市本町1-5-2 リファーレ9F,1980年1月,代表取締役 小清水 良次,675名,2億389万円,65.1億円（2017年6月期単体）,,〒532-0003大阪府大阪市淀川区宮原3-5-24 新大阪第一生命ビル2F株式会社システムサポート 採用担当(TEL:06-4807-7871),http://career.sts-inc.co.jp/
株式会社パソコンドック24,(1)カスタマーサービス(PC修理)/東京23区、名古屋(2)ITエンジニア(SE・PG)/大阪市,正社員,[掲載予定期間：2017/12/18（月）～2018/3/18（日）] 求人コード 3002041175,創業以来、インターネットやパソコンに関する総合サポートを事業として現在はFC店を含め、全国で61店舗まで増えました。地域に根ざした店舗来店型のパソコン修理サービスを提供しており、パソコン修理のプロが皆様の「パソコンの困った」を解決しております。当社で大切にしている事は、依頼された作業だけを行うのではなく、こうした方が良いのでは？といったパソコンのプロとしての知識を生かしたご提案を心がけています。おかげさまで事業は順調に拡大しており、来春、池袋にも直営新店舗を開設予定。お客様の困ったを解決する既存店拡充メンバー、新店オープニングメンバーを募集します。,(1)店舗にて受付・接客・修理対応(2)パソコンドック24グループのシステム保守・開発他 具体的な仕事内容 (1)カスタマーサービスPCや周辺機器に関するお客さまの「困った」にお応えする仕事。ご来店されたお客様のパソコン本体や周辺機器、インフラ環境のトラブルを解決するお仕事。お悩み事を確認・提案し、PC関連の様々な問題に対応して頂きます。お客様の相談内容は、・正常に起動しない・画面が割れてしまった・メールが送れない・Wi-Fi接続ができない・動作が遅い・思い出の写真データを取り出してほしい、などさまざま。各種設定から障害原因の特定まで、幅広いトラブルに対応します。トラブル発生に至る詳しい状況をしっかりヒアリングし、機器環境やそれまでの更新履歴などを踏まえて解決にあたります。(2)ITエンジニア（SE・PG）下記業務をお任せします。・FC店舗を含めたパソコンドック24グループで運用しているシステムの保守、開発・顧客の業務システムの受託開発　 いずれも、SQL Server + Access または ASP.Net ・サーバ、LAN の導入・設定 チーム／組織構成 直営店は現在6店舗(大阪市3店舗、渋谷区1店舗、新宿区1店舗、名古屋市1店舗)各店舗、店長のもとで2～8名のスタッフが活躍中。パソコン修理技術は多岐にわたる為、集中基礎研修後は現場の先輩からマンツーマンで指導を受け、技術を磨いていきます。,■パソコン修理・保守事業パソコン修理・保守事業、法人事業者向けネットワーク構築、業務システム開発・導入　等直営店舗：関西・関東6店舗　FC店舗：全国55店舗■フランチャイズ事業新規加盟と店舗の開発FC店舗の運営サポート■広告代理事業インターネット広告全般媒体広告制作WEBサイト制作・検証・運用改善,〒530-0041 大阪府大阪市北区天神橋3-8-9 新末広ビル5F,2003年11月21日,代表取締役／CEO 岡本 慎一郎,30名,"1,000万円",,35歳,株式会社パソコンドック24TEL／06-4800-3923 担当／DODA採用担当まで,https://www.pcdock24.com/
株式会社スタイル・フリー,SE・PG　※社内外のシステム・アプリの設計・開発・構築等,正社員,[掲載予定期間：2017/12/11（月）～2018/3/11（日）] 求人コード 3001895619,SIer事業部を立ち上げて以来、取引社数4000社以上と多くの実績を残してきた当社。 上場を目標に更なる業務拡大を目指し、積極採用を行います！ 東京、名古屋、大阪、福岡の全国で募集中！,社内外でのシステム開発（ITコンサル、システム開発、業務アプリ開発、インフラ設計・構築・運用保守等） 具体的な仕事内容 社内外でのシステム開発（ITコンサル、システム開発、業務アプリ開発、インフラ設計・構築・運用保守等）【具体的には】入社後は、自分の希望を伝えることからスタート。 Web系システム、業務システム、汎用システム、組み込み系システム、何でもありです！ 【案件例】 ◇大手電鉄会社ECサイト構築 ◇Webシステム開発・コンサルティング ◇ソーシャルゲームディレクション・開発・デザイン 他多数！ 【希望の案件に参画できるワケ】 グループ会社に、営業に強みを持っているWeb系企業があります。 実は当社の営業の多くがその企業出身。 営業力が高いと評価されていた社員が どんなに馴染みがない業界や企業であっても案件を獲得しています。 【自社サービスの開発に携われる！】 旅行メディア「itta」 社内向けトークアプリ「ZONE」 スマホゲーム「OTOGAMI」など あなたの声をよく聞き、希望を実現！ あなたにはどんどん裁量を与え、お任せしていく予定です。事業部が大きくなった際には、幹部の一人として活躍して頂くことも視野にあります。いわば、あなたは近い将来の主役。あなたの希望を実現していけます！ チーム／組織構成 プロジェクトにより異なります。,■WEBサイトコンサル■WEBアプリコンサル■スマホアプリの設計/開発■BtoC Webサービスの設計/開発/運用/保守■人材マッチングサイトの設計/開発/運営管理■インターネットポータルサイト運営/管理■ホームページ制作/運用/保守管理■ホスティングサービスの運営/保守管理■オフショア開発（ベトナム）■各種アプリのUI/UXデザイン制作■SEO対策事業,東京都渋谷区渋谷1-11-8 渋谷パークプラザ4F,2007年4月,代表取締役 島田 篤史,180名（グループ全体300名）,5994万1000円,23億円（2017年9月期）、22億円（2016年9月期）、15億1800万円（2015年9月期）,,東京都渋谷区渋谷1-11-8　渋谷パークプラザ4F03-6427-6400／（東京本社）／採用担当,http://www.style-free.co.jp/
"扶桑産業株式会社／FUSO INDUSTRIAL CO.,LTD.",社内SE(転勤なし/年間休日124日間/残業月平均10時間/老舗専門商社で新しい仲間を募集します）,正社員 試用期間（3か月間）あり。その間は日給月給制となります。,[掲載予定期間：2017/12/7（木）～2018/3/7（水）] 求人コード 3002015017,普段の生活では馴染みの少ない「溶接(ようせつ)」ですが、ビルや橋梁などの建築物やショベルカーなどの建設機械、船や車、鉄道などの輸送機器を作る際には非常に重要な作業です。当社は、この「溶接」を行う際に必要となる商品を扱う専門商社として、創業以来今年で73年目を迎えました。長きに渡り、「ものづくり」を生業とされる方のバックアップを「堅実経営」と「全国店舗網の強み」を活かし行ってきた当社で、今回長く活躍してくれていた社内SEが定年退職する運びとなり、新しい仲間を募集することになりました。あなたの後方支援で、社内のシステム運用をぜひ、より効率よく便利にして下さい。 「溶接」ってそもそもなんだっけ？？？ 当社は「溶接業」に関する商品を扱っている専門商社！でも、そもそも溶接って何をすることをいうのでしょう？☆溶接とは☆2個以上の部材の接合部に、熱又は圧力もしくはその両者を加え、必要があれば適当な溶加材を加えて、接合部が連続性を持つ一体化された1つの部材とする接合方法のこと。建設業、自動車産業、宇宙工学、造船などの先端技術だけでなく生活を支えるうえで基本的な、古くからある、新しい技術です。,創業以来今年で73年！「溶接」に関する商材を扱う専門商社で”未経験からでも始められる”社内SE 具体的な仕事内容 ～～＜社内SEとして、情報システム部門を担当して頂きます＞～～～～お任せするのは社内で使用するパソコンのキッティング（セットアップ）、サーバ周りや社内システムの運用など多岐に渡ります。あなたがいてくれないと、困る社員が沢山いる。そんな「社内の業務の円滑化」に貢献いただける、やりがいの大きな仕事です。～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～【主な仕事内容】・サーバーの構築、運用、保守業務全般・外部ベンダ―との折衝、管理・PC、サーバー、複合機のセットアップ、ヘルプデスク・セキュリティの管理、運用【あなたにお願いするお仕事の特徴】「新たにシステム開発を行う」のではなく、「現在あるシステムの保守」を管理する情報システム部門を担当して頂く予定です。当社は全国に支社があり、各支社で起こった問題は本社で一括して対応しているため、非常にやりがいのある業務です。 チーム／組織構成 ◎あなたに働いて頂く部署は＜管理部＞。こちらの合計人数は8名と、意思疎通のとりやすいコンパクトな組織です。◎社内の年齢構成はこんなかんじです！・20代…16人・30代…28人・40代…40人・50代…18人・60代…10人◎あなたが勤務いただく本社は、全体で11名の社員が在籍。そのうちの4人が女性です。,溶接材料、各種溶接機、高圧ガス、産業機械及び工具、省力機器、環境機器等の卸売＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝国内18の支店・営業所を有し、神戸製鋼所、パナソニック等、大手企業代理店として、業界上位の商社です。＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝,〒530-0047 大阪府大阪市北区西天満3丁目2-11,昭和19年3月23日,,110名　(男性84名/女性29名)　※平成29年3月末現在,"1億8,000万円",,,扶桑産業株式会社　本社採用担当宛て〒530-0047 大阪府大阪市北区西天満3丁目2-11TEL:06-6363-2231mail:saiyou@fsfuso.co.jp,http://www.fsfuso.co.jp
株式会社スタイル・フリー,SE・PG　※社内外のシステム・アプリの設計・開発・構築等,正社員,[掲載予定期間：2017/11/13（月）～2018/2/11（日）] 求人コード 3001895616,SIer事業部を立ち上げて以来、取引社数4000社以上と多くの実績を残してきた当社。 上場を目標に更なる業務拡大を目指し、積極採用を行います！ 東京、名古屋、大阪、福岡の全国で募集中！,社内外でのシステム開発（ITコンサル、システム開発、業務アプリ開発、インフラ設計・構築・運用保守等） 具体的な仕事内容 社内外でのシステム開発（ITコンサル、システム開発、業務アプリ開発、インフラ設計・構築・運用保守等）【具体的には】入社後は、自分の希望を伝えることからスタート。 Web系システム、業務システム、汎用システム、組み込み系システム、何でもありです！ 【案件例】 ◇大手電鉄会社ECサイト構築 ◇Webシステム開発・コンサルティング ◇ソーシャルゲームディレクション・開発・デザイン 他多数！ 【希望の案件に参画できるワケ】 グループ会社に、営業に強みを持っているWeb系企業があります。 実は当社の営業の多くがその企業出身。 営業力が高いと評価されていた社員が どんなに馴染みがない業界や企業であっても案件を獲得しています。 【自社サービスの開発に携われる！】 旅行メディア「itta」 社内向けトークアプリ「ZONE」 スマホゲーム「OTOGAMI」など あなたの声をよく聞き、希望を実現！ あなたにはどんどん裁量を与え、お任せしていく予定です。事業部が大きくなった際には、幹部の一人として活躍して頂くことも視野にあります。いわば、あなたは近い将来の主役。あなたの希望を実現していけます！ チーム／組織構成 プロジェクトにより異なります。,■WEBサイトコンサル■WEBアプリコンサル■スマホアプリの設計/開発■BtoC Webサービスの設計/開発/運用/保守■人材マッチングサイトの設計/開発/運営管理■インターネットポータルサイト運営/管理■ホームページ制作/運用/保守管理■ホスティングサービスの運営/保守管理■オフショア開発（ベトナム）■各種アプリのUI/UXデザイン制作■SEO対策事業,東京都渋谷区渋谷1-11-8 渋谷パークプラザ4F,2007年4月,代表取締役 島田 篤史,150名（グループ全体250名）,1000万円,23億円（2016年9月期）、15億1800万円（2015年9月期）,,東京都渋谷区渋谷1-11-8　渋谷パークプラザ4F03-6427-6400／（東京本社）／採用担当,http://www.style-free.co.jp/
株式会社MJC,システムエンジニア／2月24日DODA転職フェア（福岡）に出展／年間休日120日以上／完全週休2日制,正社員 ※試用期間6カ月あり（期間中の待遇に変動はありません）,[掲載予定期間：2018/2/1（木）～2018/2/28（水）] 求人コード 3002095338,創立47年、信頼と実績を積み重ね、安定した経営基盤。新しい技術領域、新しい分野に常に挑戦し、成長し続けている会社です。「ICT技術で命を守る」を経営理念に、消防・医療・防災・福祉などの自社ソリューションを全国展開し、お客様から高い評価をいただいています。東京・大阪・福岡に支社を置き、現在社員300名で躍進中です。業績好調につき、さらなる事業拡大のため、新しい仲間を採用いたします。あなたの経験値とエンジニア魂をもっと発揮しませんか？是非、あなたの声を聞かせてください。大阪でお会いしましょう。お待ちしています。 転職フェア（福岡）に出展します！ 【開催日時】2018年2月24日（土） 11：00～18：00【開催場所】福岡市中央区天神1丁目1番1号 アクロス福岡【アクセス】■天神駅から徒歩3分■西鉄福岡（天神）駅から徒歩10分■天神南駅から徒歩3分※転職フェアHPはこちら　https://doda.jp/e/fair/※ご覧いただく日時によっては、転職フェアが終了している場合もございます。あらかじめ、ご了承ください。,最上流工程や自社開発ソリューションなど、技術者として常に成長していける会社です。 具体的な仕事内容 最上流工程から開発を手がける仕事です。「顧客ヒアリング・調整→要件定義→開発・設計・構築→導入→運用・保守」と一連の業務にトータルに携わり、経験・スキルを積むことができます。◆インフラ基盤（サーバ・ネットワーク）の設計・構築～運用・保守◆関わる業務領域自治体、金融、生損保、証券、医療など。政令指定都市や大手通信会社などの優良企業が取引先に多いことも当社の特徴です。◆自社ソリューションについては、消防・防災・医療・福祉分野にまで広がり北は北海道から南は沖縄まで、私たちの技術が「命を守る」に役立っています。◆消防業務管理システム「M‐NEXT」の導入実績は全国50本部以上！ チーム／組織構成 20代～50代まで幅広い年代の社員が活躍しております。年齢にかかわらず活躍できるのが当社の一つの特徴。実力が認められれば若くしての昇進も可能。歴史がある会社ですが、年功序列といったことはなく、若くてもチャンスをつかめる会社です！風通しの良さも魅力の一つ。社歴や年齢に関係なく意見を交わせます。,■コンサルティング■システムインテグレーション■ソフトウェア開発■ハードウェア・ファームウェア開発■研究開発・パッケージ開発■アウトソーシングサービス,〒880-0032 宮崎県宮崎市霧島2‐84‐1,1972年3月,代表取締役社長 川崎 友裕,302名（2017年4月現在）,1億円,,,株式会社MJC〒880‐032 宮崎県宮崎市霧島2‐84‐1TEL：0985‐25‐8228／採用担当 岩本,http://www.mjcnet.co.jp/
株式会社アイエスエフネット,ITエンジニア／IT業界の知識不問／年間休日120日以上／2月23日（金）DODA転職フェア出展,正社員／契約社員 契約社員採用の場合にもほぼ100％正社員化しております。※待遇の変動はありません※契約社員の場合、契約期間は6カ月となります。,[掲載予定期間：2018/2/1（木）～2018/2/28（水）] 求人コード 3002102828,経験の長さよりも人物・ポテンシャル重視の採用です。前向きでチャレンジ精神がある方は歓迎！充実した研修や資格取得支援制度もあり、未経験の方でも安心してスタートできます。異業種から転職した先輩も多く活躍しており、何でも相談しやすい環境です！,IT知識やスキルを学びながら、基本的な業務からお任せします！ 具体的な仕事内容 お客様先で起こる「インターネットが繋がらない」、「エラーが出て困っている」など、IT関連の困ったことを解決するサポート役です！＜具体的なお仕事＞◎PC、ネットワークの初期設定（キッティング業務）◎サポートデスク業務（PCの使用方法やトラブル対応）◎サポート業務全般◎業務システムの運用・保守・監視などお客様に「ありがとう！助かったよ！」と言葉をいただき誰かの役に立てているんだと実感できることが大きなやりがいとなります。☆あなたのスキルに応じて、できる範囲からお仕事をお任せします！⇒現在、大小合わせて100以上のプロジェクトが稼働中！【安心してスキルアップできる充実の教育制度】入社後は2週間、東京本社とのWeb研修期間を設け､ビジネスマナーやネットワークの基礎を学び、その後、参画プロジェクトが決定するまでの間、支店の教育担当より｢IPアドレスとは？｣｢DNSサーバーって？｣といった耳にしたことはあるけどよく知らない専門用語から､Excelの基本操作まで丁寧に教えていきます｡また、入社後の研修のみならず、月に1～2回ほど勉強会も開催。知識、技術を習得しながらスキルを磨けます。☆中途入社の8割が無知識未経験で入社！ITの基礎からサーバー・ネットワーク機器の構築・保守まで広く学べるため、成長できるチャンスがたくさん！◆◇『コア制度』を導入しています◆◇プロジェクト先で黙々と仕事に取り組み、孤独でやりがいを感じにくい…そうした悩みや不安があればいつでも相談をしてほしく、当社では『コア制度』というものを整えました。技術やキャリアの悩みは、いつでも上司や先輩が相談に乗ります。喜びや苦労も共有しながら、やりがいも分かち合える仲間になりましょう。 チーム／組織構成 現在福岡支店では、約60名のエンジニアが在籍しています。プロジェクトにより1名～10名で対応。平均年齢は33歳、20代＋30代で50名の方が活躍しています！,■情報通信システムの設計、施工、保守及びコンサルタント業務■コンピュータに関するソフトウェア、ハードウェアの開発及び輸入、輸出■コンピュータシステムの運用、管理、保守の受託■コンピュータの操作、プログラム制作等に関する教育事業■コンピュータ機器等の操作技術者のアサイン■経営及び投資に関するコンサルタント業務■人材派遣（般13-304931）■ 障害者の就労支援及び就労支援事業　など,〒107-0052 東京都港区赤坂7-1-16 オーク赤坂ビル 3F,2000年,渡邊 幸義,1903名　※グループ全体：2419名（2018年1月1日現在）,1億円,,,株式会社アイエスエフネット　福岡支店〒810‐0001福岡県福岡市中央区天神1‐12‐1TEL：092‐726‐8110／FAX： 092‐726‐8120E-Mail：fukuoka-saiyo@isfnet.com,http://www.isfnet.co.jp/
日本システムワープ株式会社,ITエンジニア～20代活躍中、入社祝い金最大20万円支給！,正社員,[掲載予定期間：2018/1/29（月）～2018/2/25（日）] 求人コード 3001902604,NTTグループをはじめとする大手クライアントと長期的な信頼関係を築いており、グループ各社のサービス拡大や、多店舗系大規模ネットワークの構築・更改案件など、多くの引き合いをいただいています。こうした期待にお応えするため、今回、幅広い層のインフラエンジニアを増員。経験の浅い層も含めて、積極的に新しい人材を採用・育成していきます。,"ネットワーク及び、サーバーの設計・構築・運用・検証までITに関する経験・能力に応じてご活躍頂けます。 具体的な仕事内容 ■大手通信会社をはじめ、ネットワーク・サーバー全体のプロジェクトに参画する機会が豊富です。2,3年がかりの長期プロジェクトなど、スケールの大きいネットワークに携わることができます。【主なお取引先】◆NTTアドバンステクノロジ株式会社◆NTTコミュニケーションズ株式会社◆株式会社NTTデータ◆ＮＴＴコムエンジニアリング株式会社◆ＮＴＴコムソリューションズ株式会社◆NTTビズリンク株式会社 他資格取得支援制度・資格手当が充実！「全員が最低でもCCNA取得」を原則に資格取得を支援しています。インフラ系資格を中心に、受験費用を会社が全額負担（同資格で2回まで）。上位資格合格者には手当を支給します。◆LPIC-3：1万円/月（3年間支給）◆CCIE：7万円/月（4年間）◆高度情報処理技術者（スキルレベル4）：3万円/月（3年間）等 スキルは正当に評価！ 半期ごとに目標を設定し、業務報告書によって遂行状況を確認して、昇給・昇格へと反映します。また、資格を取得した際には、資格手当も支給（例：CCIE取得で7万円など）いたします。スキルアップがキャリアアップへつながりますので、意欲ある方が活躍しやすい環境です。 チーム／組織構成 20代が活躍中！チームでクライアント先へ配属となります。",■コンピューターネットワークシステム設計・構築・保守・工事■インターネット・イントラネット構築■ソフトウェア開発　他,〒107-0052 東京都港区赤坂3-2-6 アパ赤坂中央ビル9階,1999年,代表取締役 小塚 一隆,203名,"8,000万円",,30歳,〒107-0052 東京都港区赤坂3-2-6アパ赤坂中央ビル9Ｆ03-5545-6007採用担当,http://www.systemwarp.co.jp/
